"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 03 09:54:29 EDT 2022","Sat Sep 03 09:54:29 EDT 2022","0","","Homepage","","Homepage","Verify past dates of the current month is not enabled","Verify past dates of the current month is not enabled",""
"broken","Sat Sep 03 09:53:59 EDT 2022","Sat Sep 03 09:54:00 EDT 2022","1806","","Login","","Login","Verify user get error for invalid credentials","Verify user get error for invalid credentials",""
"passed","Sat Sep 03 09:54:05 EDT 2022","Sat Sep 03 09:54:16 EDT 2022","11214","","Homepage Calendar","","Homepage Calendar","Verify past dates of current month are displayed","Verify past dates of current month are displayed",""
"passed","Sat Sep 03 09:53:50 EDT 2022","Sat Sep 03 09:53:56 EDT 2022","5824","","Home page","","Home page","Verify Instagram opens in a new tab","Verify Instagram opens in a new tab",""
"passed","Sat Sep 03 09:54:14 EDT 2022","Sat Sep 03 09:54:18 EDT 2022","4201","","Home page","","Home page","Verify Oculus opens in a new tab","Verify Oculus opens in a new tab",""
"broken","Sat Sep 03 09:53:44 EDT 2022","Sat Sep 03 09:53:44 EDT 2022","5","","Homepage","","Homepage","Verify number of links in Church Chairs menu","Verify number of links in Church Chairs menu",""
"broken","Sat Sep 03 09:54:18 EDT 2022","Sat Sep 03 09:54:20 EDT 2022","1509","","Sign Up","","Sign Up","Verify user gets error if already registered","Verify user gets error if already registered",""
"broken","Sat Sep 03 09:54:32 EDT 2022","Sat Sep 03 09:54:32 EDT 2022","6","","Search","","Search","Verify user entered data is correctly displayed on Search page","Verify user entered data is correctly displayed on Search page",""
"passed","Sat Sep 03 09:53:58 EDT 2022","Sat Sep 03 09:54:28 EDT 2022","30356","","Homepage Calendar","","Homepage Calendar","Verify past dates of current month are displayed","Verify past dates of current month are displayed",""
"broken","Sat Sep 03 09:54:15 EDT 2022","Sat Sep 03 09:54:18 EDT 2022","3154","","Sign Up","","Sign Up","Verify no gender button is selected","Verify no gender button is selected",""
"broken","Sat Sep 03 09:54:17 EDT 2022","Sat Sep 03 09:54:17 EDT 2022","202","","Search","","Search","Verify user entered data is correctly displayed on Search page","Verify user entered data is correctly displayed on Search page",""
"broken","Sat Sep 03 09:54:17 EDT 2022","Sat Sep 03 09:54:17 EDT 2022","53","","Search","","Search","Verify user can search hotel with tomorrow as check-in date","Verify user can search hotel with tomorrow as check-in date",""
"broken","Sat Sep 03 09:53:51 EDT 2022","Sat Sep 03 09:53:55 EDT 2022","4572","","Sign Up","","Sign Up","Verify current date is selected on sign up form","Verify current date is selected on sign up form",""
"passed","Sat Sep 03 09:54:19 EDT 2022","Sat Sep 03 09:54:21 EDT 2022","1229","","Home page","","Home page","Verify there are 46 links on the landing page","Verify there are 46 links on the landing page",""
"passed","Sat Sep 03 09:54:00 EDT 2022","Sat Sep 03 09:54:01 EDT 2022","1342","","Home page","","Home page","Verify Facebook Pay opens in a new tab","Verify Facebook Pay opens in a new tab",""
"passed","Sat Sep 03 09:53:56 EDT 2022","Sat Sep 03 09:53:58 EDT 2022","1986","","Home page","","Home page","Verify Portal opens in a new tab","Verify Portal opens in a new tab",""
"broken","Sat Sep 03 09:53:44 EDT 2022","Sat Sep 03 09:54:15 EDT 2022","31035","","Sign Up","","Sign Up","Verify current date is selected on sign up form","Verify current date is selected on sign up form",""
"broken","Sat Sep 03 09:53:50 EDT 2022","Sat Sep 03 09:53:50 EDT 2022","22","","Homepage","","Homepage","Verify number of links in Church Chairs menu","Verify number of links in Church Chairs menu",""
"passed","Sat Sep 03 09:54:01 EDT 2022","Sat Sep 03 09:54:02 EDT 2022","722","","Home page","","Home page","Verify there are 46 links on the landing page","Verify there are 46 links on the landing page",""
"passed","Sat Sep 03 09:54:36 EDT 2022","Sat Sep 03 09:54:36 EDT 2022","0","","Homepage","","Homepage","Verify past dates of the current month is not enabled","Verify past dates of the current month is not enabled",""
"passed","Sat Sep 03 09:54:11 EDT 2022","Sat Sep 03 09:54:14 EDT 2022","2343","","Home page","","Home page","Verify Portal opens in a new tab","Verify Portal opens in a new tab",""
"passed","Sat Sep 03 09:53:44 EDT 2022","Sat Sep 03 09:54:11 EDT 2022","27069","","Home page","","Home page","Verify Instagram opens in a new tab","Verify Instagram opens in a new tab",""
"broken","Sat Sep 03 09:54:18 EDT 2022","Sat Sep 03 09:54:19 EDT 2022","1201","","Login","","Login","Verify user get error for invalid credentials","Verify user get error for invalid credentials",""
"passed","Sat Sep 03 09:53:52 EDT 2022","Sat Sep 03 09:53:57 EDT 2022","4511","","Login","","Login","Verify login fields are enabled by default","Verify login fields are enabled by default",""
"passed","Sat Sep 03 09:53:58 EDT 2022","Sat Sep 03 09:54:00 EDT 2022","2245","","Home page","","Home page","Verify Oculus opens in a new tab","Verify Oculus opens in a new tab",""
"passed","Sat Sep 03 09:54:18 EDT 2022","Sat Sep 03 09:54:19 EDT 2022","1452","","Home page","","Home page","Verify Facebook Pay opens in a new tab","Verify Facebook Pay opens in a new tab",""
